sample_id,species,population,prep_type,platform,raw_vcf
LAZB11,LAZB,washington,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/LAZB11/LAZB11.freebayes.vcf.gz
LAZB12,LAZB,washington,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/LAZB12/LAZB12.freebayes.vcf.gz
LAZB13,LAZB,washington,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/LAZB13/LAZB13.freebayes.vcf.gz
LAZB14,LAZB,washington,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/LAZB14/LAZB14.freebayes.vcf.gz
LAZB15,LAZB,washington,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/LAZB15/LAZB15.freebayes.vcf.gz
LAZB16,LAZB,washington,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/LAZB16/LAZB16.freebayes.vcf.gz
LAZB17,LAZB,washington,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/LAZB17/LAZB17.freebayes.vcf.gz
LAZB18,LAZB,washington,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/LAZB18/LAZB18.freebayes.vcf.gz
LAZB19,LAZB,washington,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/LAZB19/LAZB19.freebayes.vcf.gz
LAZB20,LAZB,washington,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/LAZB20/LAZB20.freebayes.vcf.gz
lmegna_LAZB01,LAZB,wyoming,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/lmegna_LAZB1/lmegna_LAZB1.freebayes.vcf.gz
lmegna_LAZB02,LAZB,wyoming,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/lmegna_LAZB2/lmegna_LAZB2.freebayes.vcf.gz
lmegna_LAZB03,LAZB,wyoming,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/lmegna_LAZB3/lmegna_LAZB3.freebayes.vcf.gz
lmegna_LAZB04,LAZB,wyoming,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/lmegna_LAZB4/lmegna_LAZB4.freebayes.vcf.gz
lmegna_LAZB05,LAZB,wyoming,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/lmegna_LAZB5/lmegna_LAZB5.freebayes.vcf.gz
lmegna_LAZB06,LAZB,wyoming,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/lmegna_LAZB6/lmegna_LAZB6.freebayes.vcf.gz
lmegna_LAZB08,LAZB,wyoming,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/lmegna_LAZB8/lmegna_LAZB8.freebayes.vcf.gz
lmegna_LAZB09,LAZB,wyoming,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/lmegna_LAZB9/lmegna_LAZB9.freebayes.vcf.gz
INBU04,INBU,louisiana,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/INBU4/INBU4.freebayes.vcf.gz
INBU05,INBU,louisiana,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/INBU5/INBU5.freebayes.vcf.gz
INBU06,INBU,louisiana,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/INBU6/INBU6.freebayes.vcf.gz
INBU07,INBU,louisiana,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/INBU7/INBU7.freebayes.vcf.gz
INBU08,INBU,louisiana,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/INBU8/INBU8.freebayes.vcf.gz
INBU09,INBU,louisiana,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/INBU9/INBU9.freebayes.vcf.gz
INBU10,INBU,louisiana,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/INBU10/INBU10.freebayes.vcf.gz
INBU13,INBU,new_york,WGS,illumina,/pfs/tc1/project/passerinagenome/nminor1/1_snp_calling/results_20230216/variant_calling/freebayes/INBU13/INBU13.freebayes.vcf.gz
